"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"635";"T001038";"10000";"CR05  ";"2022JJ00";"     478";"      35";"     103";"     384";"      76";"      42";"      34";"     148";"      91";"       4";"      26";"      41";"       0";"      41";"      20";"      15";"       2";"      13"
"636";"T001038";"10000";"CR05  ";"2023JJ00";"     454";"      26";"     115";"     384";"      80";"      46";"      34";"     156";"     120";"       6";"      34";"      64";"       5";"      59";"      16";"       9";"       4";"       5"
"637";"T001038";"10000";"CR05  ";"2024JJ00";"     459";"      36";"     110";"     373";"      73";"      46";"      27";"     128";"     117";"       7";"      50";"      46";"       1";"      45";"      14";"       9";"       2";"       7"
"664";"T001038";"10000";"CR06  ";"2022JJ00";"     625";"      51";"     169";"     505";"     108";"      62";"      46";"     200";"     166";"       5";"      53";"      83";"       2";"      81";"      25";"      18";"       4";"      14"
"665";"T001038";"10000";"CR06  ";"2023JJ00";"     572";"      51";"     174";"     560";"     110";"      59";"      51";"     186";"     202";"       7";"      56";"     102";"       0";"     102";"      37";"      15";"       4";"      11"
"666";"T001038";"10000";"CR06  ";"2024JJ00";"     652";"      55";"     184";"     510";"     121";"      63";"      58";"     179";"     200";"      10";"      68";"      92";"       6";"      86";"      30";"      18";"       6";"      12"
"693";"T001038";"10000";"CR07  ";"2022JJ00";"     630";"      64";"     188";"     537";"     121";"      75";"      46";"     204";"     156";"       7";"      39";"      84";"       4";"      80";"      26";"       8";"       5";"       3"
"694";"T001038";"10000";"CR07  ";"2023JJ00";"     658";"      40";"     209";"     549";"     127";"      70";"      57";"     202";"     161";"       7";"      51";"      77";"       3";"      74";"      26";"      16";"       6";"      10"
"695";"T001038";"10000";"CR07  ";"2024JJ00";"     636";"      64";"     225";"     568";"     113";"      68";"      45";"     207";"     201";"      11";"      69";"      99";"       2";"      97";"      22";"      13";"       8";"       5"
"722";"T001038";"10000";"CR08  ";"2022JJ00";"     584";"      53";"     157";"     529";"     113";"      68";"      45";"     169";"     165";"      18";"      38";"      82";"       4";"      78";"      27";"      18";"       4";"      14"
"723";"T001038";"10000";"CR08  ";"2023JJ00";"     560";"      45";"     158";"     493";"     131";"      72";"      59";"     158";"     172";"      11";"      47";"      89";"       3";"      86";"      25";"      19";"       7";"      12"
"724";"T001038";"10000";"CR08  ";"2024JJ00";"     619";"      45";"     164";"     532";"     129";"      65";"      64";"     203";"     205";"       7";"      52";"     116";"       4";"     112";"      30";"       9";"       3";"       6"
"751";"T001038";"10000";"CR09  ";"2022JJ00";"     454";"      42";"     110";"     419";"      91";"      50";"      41";"     158";"     102";"       5";"      23";"      54";"       4";"      50";"      20";"      16";"       4";"      12"
"752";"T001038";"10000";"CR09  ";"2023JJ00";"     458";"      34";"     121";"     377";"      66";"      34";"      32";"     147";"     117";"       7";"      35";"      51";"       3";"      48";"      24";"      14";"       5";"       9"
"753";"T001038";"10000";"CR09  ";"2024JJ00";"     413";"      34";"     144";"     357";"      77";"      52";"      25";"     116";"     138";"      13";"      38";"      68";"       2";"      66";"      19";"      16";"       5";"      11"
"780";"T001038";"10000";"CR10  ";"2022JJ00";"     940";"      94";"     295";"     830";"     174";"     104";"      70";"     324";"     252";"       9";"      73";"     124";"       5";"     119";"      46";"      26";"      11";"      15"
"781";"T001038";"10000";"CR10  ";"2023JJ00";"     915";"      73";"     273";"     812";"     155";"      91";"      64";"     332";"     252";"       9";"      88";"     110";"       7";"     103";"      45";"      19";"       3";"      16"
"782";"T001038";"10000";"CR10  ";"2024JJ00";"     977";"      88";"     265";"     779";"     162";"     101";"      61";"     283";"     264";"      19";"      86";"     113";"       8";"     105";"      46";"      19";"       3";"      16"
